ReportFiledDate,CandidateName,PeriodBegining,PeriodEnding,TransactionID,TransactionType,TransactionAmount
2007-07-12 17:08:39.273000000,Anne Clutterbuck,1/1/2007,6/30/2007,A-116,Political Contributions,250
2007-07-12 17:08:39.273000000,Anne Clutterbuck,1/1/2007,6/30/2007,A-117,Political Contributions,100
